uniqueid,Divorce_date,Date_of_marriage,Age_partner_man,Marriage_duration,Type_of_divorce,Num_Children,DOB_partner_man,Level_of_education_partner_man,year_of_marriage,year_of_DOB,year_of_Divorse,month_of_DOB,day_of_DOB,DONE,dayun,man時干,man時支,man日干,man日支,man月干,man月支,man年干,man年支,Year_marriage_ganzhi,man日支同年支,man日支六沖,man日支六合,man流年天干十神,man流年地支十神,man財透干,man財得地,man日干五合,man日柱天地合,man流年雙體財,man日干支關係,man日支半三合,man日支半三會局,man日支暗合,man流年大運天地合,man流年大運伏吟,當令,man大運天干十神,man大運地支十神,man大運財透干,man大運財得地,man年干十神,man年支十神,man月干十神,man月支十神,年月有多少財,年月有多少官,本命日支六合,本命日支三合,本命日支被三合或六合,日支大運六合,日支大運三合,日支被大運三合或六合,流年之前日支被合,marriage_age,marri_age_group,man大運財透干2,man大運財得地2,man大運日支六沖,man大運日支六合,man大運日干五合,man大運日柱天地合,man財透干2,man財得地2,man流年大運地支伏吟
2297,2004-06-16,1996-03-29,50.0,8.0,Voluntario,,1953-10-24,PROFESIONAL,1996,1953,2004,10,24,1,戊午,壬,子,戊,申,壬,戌,癸,巳,丙子,False,False,False,偏印,正財,False,True,False,False,False,日干生日支,True,False,False,False,False,1,比肩,偏印,False,False,正財,正印,偏財,比肩,2,0,yes,no,yes,no,no,no,yes,43,41-50,False,False,False,False,False,False,False,True,False
2298,2005-06-16,1996-12-14,30.0,11.0,Voluntario,,1974-08-17,PROFESIONAL,1996,1974,2005,8,17,1,甲戌,丙,子,庚,寅,壬,申,甲,寅,丙子,False,False,False,七殺,傷官,False,False,False,False,False,日干剋日支,False,False,False,False,False,1,偏財,偏印,True,False,偏財,偏財,食神,比肩,2,0,no,no,no,no,no,no,no,22,21-30,True,False,False,False,False,False,False,False,False
2299,2008-06-16,1986-12-16,45.0,21.0,Necesario,3.0,1962-07-17,PROFESIONAL,1986,1962,2008,7,17,1,己酉,戊,子,丙,辰,丁,未,壬,寅,丙寅,False,False,False,比肩,偏印,False,False,False,False,False,日干生日支,False,True,False,False,False,0,傷官,正財,False,True,七殺,偏印,劫財,傷官,0,1,no,no,no,yes,no,no,no,24,21-30,False,True,False,True,False,False,False,False,False
2300,2008-06-16,2002-08-19,35.0,3.0,Necesario,1.0,1973-06-16,PREPARATORIA,2002,1973,2008,6,16,1,乙卯,壬,子,癸,未,戊,午,癸,丑,壬午,False,False,True,劫財,正財,False,True,False,False,False,日支剋日干,False,True,False,False,False,0,食神,食神,False,False,比肩,七殺,正官,正財,1,2,yes,no,yes,no,no,no,yes,29,21-30,False,False,False,False,False,False,False,True,False
2301,2009-06-16,1994-10-22,43.0,13.0,Necesario,1.0,1965-07-02,PROFESIONAL,1994,1965,2009,7,2,1,己卯,庚,子,丁,巳,壬,午,乙,巳,甲戌,False,False,False,正印,傷官,False,False,False,False,False,比和,False,False,False,True,False,1,食神,偏印,False,False,偏印,比肩,正官,劫財,0,1,no,no,no,no,no,no,no,29,21-30,False,False,False,False,False,False,False,False,False
2302,2010-06-16,1963-05-31,69.0,30.0,Voluntario,3.0,1940-06-29,PROFESIONAL,1963,1940,2010,6,29,1,乙酉,壬,子,癸,卯,壬,午,庚,辰,癸卯,True,False,False,比肩,食神,False,False,False,False,False,日干生日支,False,False,False,False,False,0,食神,偏印,False,False,正印,正官,劫財,正財,1,1,no,no,no,no,no,no,no,23,21-30,False,False,True,False,False,False,False,False,False
2303,2011-06-16,2009-08-01,25.0,1.0,Voluntario,,1985-10-14,PROFESIONAL,2009,1985,2011,10,14,1,癸未,戊,子,丙,戌,丙,戌,乙,丑,己丑,False,False,False,傷官,傷官,False,False,False,False,False,日干生日支,False,False,False,False,False,0,正官,傷官,False,False,正印,傷官,比肩,食神,0,0,no,no,no,no,no,no,no,24,21-30,False,False,False,False,False,False,False,False,False
2304,2011-06-16,2004-06-21,35.0,7.0,Necesario,1.0,1975-08-04,,2004,1975,2011,8,4,1,庚辰,庚,子,壬,午,癸,未,乙,卯,甲申,False,False,False,食神,偏印,False,False,False,False,False,日干剋日支,False,False,False,False,False,0,偏印,七殺,False,False,傷官,傷官,劫財,正官,0,1,yes,no,yes,no,no,no,yes,29,21-30,False,False,False,False,False,False,False,False,False
2305,2014-06-16,2009-11-14,30.0,4.0,Voluntario,,1983-08-11,PROFESIONAL,2009,1983,2014,8,11,1,丁巳,戊,子,辛,未,庚,申,癸,亥,己丑,False,True,False,偏印,偏印,False,False,False,False,False,日支生日干,False,False,False,False,False,1,七殺,七殺,False,False,食神,傷官,劫財,劫財,0,0,no,no,no,no,no,no,no,26,21-30,False,False,False,False,False,False,False,False,False
2306,2001-07-16,1999-06-28,29.0,2.0,Voluntario,1.0,1971-07-27,PROFESIONAL,1999,1971,2001,7,27,1,壬辰,壬,子,癸,丑,乙,未,辛,亥,己卯,False,False,False,七殺,食神,False,False,False,False,False,日支剋日干,False,False,False,False,False,0,劫財,正官,False,False,偏印,劫財,食神,七殺,0,1,no,no,no,no,no,no,no,28,21-30,False,False,False,False,False,False,False,False,False
