uniqueid,Divorce_date,Date_of_marriage,Age_partner_man,Marriage_duration,Type_of_divorce,Num_Children,DOB_partner_man,Level_of_education_partner_man,year_of_marriage,year_of_DOB,year_of_Divorse,month_of_DOB,day_of_DOB,DONE,dayun,man時干,man時支,man日干,man日支,man月干,man月支,man年干,man年支,Year_marriage_ganzhi,man日支同年支,man日支六沖,man日支六合,man流年天干十神,man流年地支十神,man財透干,man財得地,man日干五合,man日柱天地合,man流年雙體財,man日干支關係,man日支半三合,man日支半三會局,man日支暗合,man流年大運天地合,man流年大運伏吟,當令,man大運天干十神,man大運地支十神,man大運財透干,man大運財得地,man年干十神,man年支十神,man月干十神,man月支十神,年月有多少財,年月有多少官,本命日支六合,本命日支三合,本命日支被三合或六合,日支大運六合,日支大運三合,日支被大運三合或六合,流年之前日支被合,marriage_age,marri_age_group,man大運財透干2,man大運財得地2,man大運日支六沖,man大運日支六合,man大運日干五合,man大運日柱天地合,man財透干2,man財得地2,man流年大運地支伏吟
872,2006-11-06,1995-12-09,39.0,10.0,Necesario,1.0,1967-10-27,SECUNDARIA,1995,1967,2006,10,27,1,丁未,甲,子,甲,子,庚,戌,丁,未,乙亥,False,False,False,劫財,偏印,False,False,False,False,False,日支生日干,False,True,False,False,False,0,傷官,正財,False,True,傷官,正財,七殺,偏財,2,1,no,no,no,no,no,no,no,28,21-30,False,True,False,False,False,False,False,False,False
873,2006-11-06,1995-03-27,31.0,11.0,Necesario,1.0,1975-06-26,,1995,1975,2006,6,26,1,庚辰,壬,子,癸,卯,壬,午,乙,卯,乙亥,False,False,False,食神,劫財,False,False,False,False,False,日干生日支,True,False,False,False,False,0,正印,正官,False,False,食神,食神,劫財,正財,1,0,no,no,no,no,no,no,no,20,0-20,False,False,False,False,False,False,False,False,False
874,2007-11-06,1998-11-13,34.0,9.0,Necesario,1.0,1973-05-22,PROFESIONAL,1998,1973,2007,5,22,1,甲寅,壬,子,戊,午,丁,巳,癸,丑,戊寅,False,False,False,比肩,七殺,False,False,False,False,False,日支生日干,True,False,False,False,False,0,七殺,七殺,False,False,正財,劫財,正印,正印,1,0,no,no,no,no,no,no,no,25,21-30,False,False,False,False,False,False,False,False,True
875,2007-11-06,2000-06-02,34.0,7.0,Necesario,1.0,1973-10-12,PREPARATORIA,2000,1973,2007,10,12,1,己未,戊,子,辛,巳,壬,戌,癸,丑,庚辰,False,False,False,劫財,正印,False,False,False,False,False,日支剋日干,False,False,False,False,False,0,偏印,偏印,False,False,食神,偏印,傷官,正印,0,0,no,no,no,no,no,no,no,27,21-30,False,False,False,False,False,False,False,False,False
876,2008-11-06,1999-03-15,30.0,2.0,Necesario,2.0,1978-04-11,PROFESIONAL,1999,1978,2008,4,11,1,戊午,壬,子,癸,卯,丙,辰,戊,午,己卯,True,False,False,七殺,食神,False,False,False,False,False,日干生日支,False,False,False,False,False,0,正官,正財,False,True,正官,正財,正財,正官,2,2,no,no,no,no,no,no,no,21,0-20,False,True,False,False,True,False,False,False,False
877,2012-11-06,2009-11-23,21.0,2.0,Voluntario,,1991-07-11,PREPARATORIA,2009,1991,2012,7,11,1,癸巳,庚,子,壬,午,乙,未,辛,未,己丑,False,False,False,正官,正官,False,False,False,False,False,日干剋日支,False,False,False,False,False,0,劫財,正財,False,True,正印,正官,傷官,正官,0,2,yes,no,yes,no,no,no,yes,18,0-20,False,True,False,False,False,False,False,False,False
878,2014-11-06,2008-11-22,45.0,6.0,Voluntario,,1969-06-27,PROFESIONAL,2008,1969,2014,6,27,1,丙寅,壬,子,癸,酉,庚,午,己,酉,戊子,False,False,False,正官,比肩,False,False,True,False,False,日支生日干,False,False,False,False,False,0,正財,傷官,True,False,七殺,偏印,正印,正財,1,1,no,no,no,no,no,no,no,39,31-40,True,False,False,False,False,False,False,False,False
879,2000-12-06,1995-12-02,30.0,4.0,Voluntario,,1970-08-16,PROFESIONAL,1995,1970,2000,8,16,1,丙戌,壬,子,戊,辰,甲,申,庚,戌,乙亥,False,False,False,正官,偏財,False,True,False,False,False,比和,False,False,False,False,False,0,偏印,比肩,False,False,食神,比肩,七殺,食神,0,1,no,no,no,no,no,no,no,25,21-30,False,False,True,False,False,False,False,True,False
880,2000-12-06,1981-01-02,57.0,19.0,Voluntario,3.0,1943-01-02,PROFESIONAL,1981,1943,2000,1,2,1,丙辰,丙,子,庚,申,壬,子,壬,午,辛酉,False,False,False,劫財,劫財,False,False,False,False,False,比和,False,True,False,True,False,0,七殺,偏印,False,False,食神,七殺,食神,傷官,0,1,no,no,no,no,yes,yes,yes,38,31-40,False,False,False,False,False,False,False,False,False
881,2000-12-06,1993-12-29,43.0,6.0,Voluntario,1.0,1957-11-19,PROFESIONAL,1993,1957,2000,11,19,1,丁未,丙,子,乙,未,辛,亥,丁,酉,癸酉,False,False,False,偏印,七殺,False,False,False,False,False,日干剋日支,False,False,False,False,False,0,食神,偏財,False,True,食神,七殺,七殺,正印,0,2,no,no,no,no,no,no,no,36,31-40,False,True,False,False,False,False,False,False,False
882,2001-12-06,1990-02-02,36.0,11.0,Voluntario,2.0,1965-08-12,PROFESIONAL,1990,1965,2001,8,12,1,辛巳,壬,子,戊,戌,甲,申,乙,巳,庚午,False,False,False,食神,偏印,False,False,False,False,False,比和,True,False,False,False,False,0,傷官,正印,False,False,正官,正印,七殺,食神,0,2,no,no,no,no,no,no,no,25,21-30,False,False,False,False,False,False,False,False,False
883,2002-12-06,1994-06-17,34.0,8.0,Voluntario,,1968-01-24,PROFESIONAL,1994,1968,2002,1,24,1,庚戌,壬,子,癸,巳,癸,丑,丁,未,甲戌,False,False,False,傷官,正官,False,False,False,False,False,日干剋日支,False,False,False,False,False,0,正印,正官,False,False,偏財,七殺,比肩,七殺,1,2,no,no,no,no,no,no,no,26,21-30,False,False,False,False,False,False,False,False,True
884,2002-12-06,1984-11-30,43.0,7.0,Voluntario,2.0,1959-02-17,PRIMARIA,1984,1959,2002,2,17,1,癸亥,丙,子,庚,午,丙,寅,己,亥,甲子,False,True,False,偏財,傷官,True,False,False,False,False,日支剋日干,False,False,False,False,False,0,傷官,食神,False,False,正印,食神,七殺,偏財,1,1,no,no,no,no,no,no,no,25,21-30,False,False,False,False,False,False,True,False,False
885,2002-12-06,1993-11-29,29.0,8.0,Voluntario,,1973-11-01,SECUNDARIA,1993,1973,2002,11,1,1,庚申,戊,子,辛,丑,壬,戌,癸,丑,癸酉,False,False,False,食神,比肩,False,False,False,False,False,日支生日干,True,False,False,False,False,0,劫財,劫財,False,False,食神,偏印,傷官,正印,0,0,no,no,no,no,no,no,no,20,0-20,False,False,False,False,False,False,False,False,False
886,2002-12-06,1989-10-30,33.0,13.0,Voluntario,2.0,1969-07-30,PREPARATORIA,1989,1969,2002,7,30,1,己巳,戊,子,丙,午,辛,未,己,酉,己巳,False,False,False,傷官,劫財,False,False,False,False,False,比和,False,True,False,False,True,0,傷官,劫財,False,False,傷官,正財,正財,傷官,2,0,yes,no,yes,no,no,no,yes,20,0-20,False,False,False,False,False,False,False,False,True
887,2006-12-06,1999-04-17,35.0,7.0,Necesario,1.0,1971-08-12,PROFESIONAL,1999,1971,2006,8,12,1,癸巳,甲,子,己,巳,丙,申,辛,亥,己卯,False,False,False,比肩,七殺,False,False,False,False,False,日支生日干,False,False,False,False,False,0,偏財,偏印,True,False,食神,正財,正印,傷官,1,0,yes,no,yes,no,no,no,yes,28,21-30,True,False,False,False,False,False,False,False,False
888,2007-12-06,1992-12-23,50.0,11.0,Voluntario,,1957-07-03,PREPARATORIA,1992,1957,2007,7,3,1,癸卯,戊,子,丙,子,丙,午,丁,酉,壬申,False,False,False,七殺,偏財,False,True,False,False,False,日支剋日干,True,False,False,False,False,1,正官,正印,False,False,劫財,正財,比肩,比肩,1,0,no,no,no,no,no,no,no,35,31-40,False,False,False,False,False,False,False,True,False
889,2010-12-06,1980-12-23,63.0,29.0,Necesario,3.0,1947-07-22,SECUNDARIA,1980,1947,2010,7,22,1,甲辰,庚,子,壬,寅,丁,未,丁,亥,庚申,False,True,False,偏印,偏印,False,False,False,False,False,日干生日支,False,False,False,False,False,0,食神,七殺,False,False,正財,比肩,正財,正官,2,1,yes,no,yes,no,no,no,yes,33,31-40,False,False,False,False,False,False,False,False,False
890,2011-12-06,2004-09-18,35.0,5.0,Necesario,1.0,1976-04-04,PROFESIONAL,2004,1976,2011,4,4,1,甲午,戊,子,丙,戌,辛,卯,丙,辰,甲申,False,False,False,偏印,偏財,False,True,False,False,False,日干生日支,False,True,False,False,False,0,偏印,比肩,False,False,比肩,食神,正財,正印,1,0,yes,no,yes,no,no,no,yes,28,21-30,False,False,False,False,False,False,False,True,False
891,2011-12-06,2009-10-17,28.0,2.0,Voluntario,,1983-09-16,PREPARATORIA,2009,1983,2011,9,16,1,戊午,庚,子,丁,未,辛,酉,癸,亥,己丑,False,True,False,食神,食神,False,False,False,False,False,日干生日支,False,False,False,False,False,0,傷官,劫財,False,False,七殺,正官,偏財,偏財,2,2,no,no,no,yes,no,no,no,26,21-30,False,False,False,True,False,False,False,False,False
892,2012-12-06,2010-08-20,30.0,2.0,Necesario,,1982-11-24,PROFESIONAL,2010,1982,2012,11,24,1,甲寅,戊,子,辛,亥,辛,亥,壬,戌,庚寅,False,False,True,劫財,正財,False,True,False,False,False,日干生日支,False,False,False,False,False,0,正財,正財,True,True,傷官,正印,比肩,傷官,0,0,no,no,no,yes,no,no,no,28,21-30,True,True,False,True,False,False,False,True,True
893,2012-12-06,2003-02-25,29.0,8.0,Necesario,1.0,1983-02-25,,2003,1983,2012,2,25,1,壬子,甲,子,甲,申,甲,寅,癸,亥,癸未,False,False,False,正印,正財,False,True,False,False,False,日支剋日干,False,False,False,False,False,1,偏印,正印,False,False,正印,偏印,比肩,比肩,0,0,no,no,no,no,no,no,no,20,0-20,False,False,False,False,False,False,False,True,False
894,2013-12-06,2009-12-19,40.0,3.0,Necesario,,1973-09-13,PROFESIONAL,2009,1973,2013,9,13,1,丁巳,庚,子,壬,子,辛,酉,癸,丑,己丑,False,False,True,正官,正官,False,False,False,False,False,比和,False,True,False,False,False,0,正財,正財,True,True,劫財,正官,正印,正印,0,1,yes,no,yes,no,no,no,yes,36,31-40,True,True,False,False,True,False,False,False,False
895,2013-12-06,2005-06-16,35.0,8.0,Necesario,2.0,1978-08-15,PROFESIONAL,2005,1978,2013,8,15,1,壬戌,甲,子,己,酉,庚,申,戊,午,乙酉,True,False,False,七殺,食神,False,False,False,False,False,日干生日支,False,False,False,False,False,0,正財,劫財,True,False,劫財,正印,傷官,傷官,0,0,no,no,no,no,no,no,no,27,21-30,True,False,False,False,False,False,False,False,False
896,2003-01-07,1992-07-20,35.0,10.0,Voluntario,2.0,1967-12-03,PREPARATORIA,1992,1967,2003,12,3,1,己酉,戊,子,辛,丑,辛,亥,丁,未,壬申,False,False,False,傷官,劫財,False,False,False,False,False,日支生日干,False,False,False,False,False,0,偏印,比肩,False,False,七殺,偏印,比肩,傷官,0,1,no,no,no,no,no,no,no,25,21-30,False,False,False,False,False,False,False,False,False
897,2008-01-07,2005-10-14,34.0,1.0,Voluntario,,1973-05-06,PROFESIONAL,2005,1973,2008,5,6,1,癸丑,庚,子,壬,寅,丁,巳,癸,丑,乙酉,False,False,False,傷官,正印,False,False,False,False,False,日干生日支,False,False,False,False,False,0,劫財,正官,False,False,劫財,正官,正財,正財,2,1,no,no,no,no,no,no,no,32,31-40,False,False,False,False,False,False,False,False,False
898,2009-01-07,1982-04-24,49.0,24.0,Necesario,1.0,1959-10-11,SECUNDARIA,1982,1959,2009,10,11,1,辛未,戊,子,丙,寅,甲,戌,己,亥,壬戌,False,False,False,七殺,食神,False,False,False,False,False,日支生日干,True,False,False,False,False,0,正財,傷官,True,False,傷官,七殺,偏印,食神,0,1,yes,no,yes,no,no,no,yes,23,21-30,True,False,False,False,True,False,False,False,False
899,2011-01-07,2002-12-07,40.0,8.0,Voluntario,,1970-09-24,PREPARATORIA,2002,1970,2011,9,24,1,戊子,庚,子,丁,未,乙,酉,庚,戌,壬午,False,False,True,正官,劫財,False,False,True,True,False,日干生日支,False,True,False,False,False,0,傷官,七殺,False,False,正財,傷官,偏印,偏財,2,0,no,no,no,no,no,no,no,32,31-40,False,False,False,False,False,False,False,False,False
900,2013-01-07,2006-11-24,37.0,6.0,Voluntario,,1975-03-08,PROFESIONAL,2006,1975,2013,3,8,1,乙亥,壬,子,癸,丑,己,卯,乙,卯,丙戌,False,False,False,正財,正官,True,False,False,False,False,日支剋日干,False,False,False,False,False,0,食神,劫財,False,False,食神,食神,七殺,食神,0,1,no,no,no,no,no,no,no,31,21-30,False,False,False,False,False,False,True,False,False
901,2014-01-07,1999-12-01,51.0,14.0,Necesario,,1962-07-19,PROFESIONAL,1999,1962,2014,7,19,1,辛亥,壬,子,戊,午,丁,未,壬,寅,己卯,False,False,False,劫財,正官,False,False,False,False,False,日支生日干,False,False,False,False,False,1,傷官,偏財,False,True,偏財,七殺,正印,劫財,1,1,yes,no,yes,no,no,no,yes,37,31-40,False,True,False,False,False,False,False,False,False
902,2002-02-07,1966-08-06,66.0,,Voluntario,,1935-02-25,PRIMARIA,1966,1935,2002,2,25,1,乙亥,庚,子,壬,申,戊,寅,乙,亥,丙午,False,False,False,偏財,偏財,True,True,False,False,True,日支生日干,False,False,False,False,False,0,傷官,比肩,False,False,傷官,比肩,七殺,食神,0,1,no,no,no,no,no,no,no,31,21-30,False,False,False,False,False,False,True,True,False
903,2002-02-07,1985-05-13,39.0,16.0,Voluntario,4.0,1962-08-29,PRIMARIA,1985,1962,2002,8,29,1,辛亥,甲,子,己,亥,戊,申,壬,寅,乙丑,False,False,False,七殺,比肩,False,False,False,False,False,日干剋日支,False,True,False,False,False,0,食神,正財,False,True,正財,正官,劫財,傷官,1,1,yes,no,yes,no,no,no,yes,23,21-30,False,True,False,False,False,False,False,False,False
904,2002-02-07,1981-02-16,43.0,20.0,Necesario,,1958-09-01,PROFESIONAL,1981,1958,2002,9,1,1,癸亥,戊,子,辛,巳,庚,申,戊,戌,辛酉,False,False,False,比肩,比肩,False,False,False,False,False,日支剋日干,True,False,True,False,False,1,食神,傷官,False,False,正印,正印,劫財,劫財,0,0,yes,no,yes,no,no,no,yes,23,21-30,False,False,True,False,False,False,False,False,False
905,2003-02-07,1998-05-22,31.0,4.0,Voluntario,,1971-12-10,PROFESIONAL,1998,1971,2003,12,10,1,丁酉,甲,子,己,巳,庚,子,辛,亥,戊寅,False,False,False,劫財,正官,False,False,False,False,False,日支生日干,False,False,False,False,False,0,偏印,食神,False,False,食神,正財,傷官,偏財,2,0,no,no,no,no,no,no,no,27,21-30,False,False,False,False,False,False,False,False,False
906,2003-02-07,1990-06-15,38.0,12.0,Necesario,,1964-02-21,PREPARATORIA,1990,1964,2003,2,21,1,己巳,丙,子,庚,子,丙,寅,甲,辰,庚午,False,True,False,比肩,七殺,False,False,False,False,False,日干生日支,False,False,False,False,False,0,正印,正官,False,False,偏財,偏印,七殺,偏財,2,1,no,no,no,no,no,no,no,26,21-30,False,False,False,False,False,False,False,False,False
907,2006-02-07,2004-12-16,26.0,1.0,Voluntario,,1979-09-04,PREPARATORIA,2004,1979,2006,9,4,1,庚午,甲,子,甲,戌,壬,申,己,未,甲申,False,False,False,比肩,七殺,False,False,False,False,False,日干剋日支,False,True,False,False,False,0,七殺,食神,False,False,正財,正財,偏印,七殺,2,1,no,no,no,no,no,no,no,25,21-30,False,False,False,False,False,False,False,False,False
908,2006-02-07,1996-12-02,29.0,9.0,Necesario,1.0,1976-05-30,,1996,1976,2006,5,30,1,乙未,庚,子,壬,午,癸,巳,丙,辰,丙子,False,True,False,偏財,劫財,True,False,False,False,False,日干剋日支,False,False,False,False,False,0,傷官,正官,False,False,偏財,七殺,劫財,正財,2,1,no,no,no,yes,no,no,no,20,0-20,False,False,False,True,False,False,True,False,False
909,2006-02-07,1991-08-03,44.0,14.0,Necesario,2.0,1961-05-14,PREPARATORIA,1991,1961,2006,5,14,1,庚寅,庚,子,丁,未,癸,巳,辛,丑,辛未,True,False,False,偏財,食神,True,False,False,False,False,日干生日支,False,False,False,False,False,1,正財,正印,True,False,偏財,食神,七殺,比肩,1,1,no,no,no,no,no,no,no,30,21-30,True,False,False,False,False,False,True,False,False
910,2006-02-07,1995-12-05,36.0,10.0,Necesario,1.0,1969-04-29,PREPARATORIA,1995,1969,2006,4,29,1,丙寅,甲,子,甲,戌,戊,辰,己,酉,乙亥,False,False,False,劫財,偏印,False,False,False,False,False,日干剋日支,False,False,False,False,False,0,食神,比肩,False,False,正財,正官,偏財,偏財,3,1,no,no,no,no,no,no,no,26,21-30,False,False,False,False,False,False,False,False,False
911,2007-02-07,2003-12-20,31.0,3.0,Voluntario,,1975-10-20,PREPARATORIA,2003,1975,2007,10,20,1,癸未,甲,子,己,亥,丙,戌,乙,卯,癸未,False,False,False,偏財,比肩,True,False,False,False,False,日干剋日支,True,False,False,False,True,1,偏財,比肩,True,False,七殺,七殺,正印,劫財,0,2,no,no,no,no,yes,yes,yes,28,21-30,True,False,False,False,False,False,True,False,True
912,2008-02-07,1996-04-25,39.0,5.0,Necesario,2.0,1968-03-17,,1996,1968,2008,3,17,1,戊午,戊,子,丙,戌,乙,卯,戊,申,丙子,False,False,False,比肩,正官,False,False,False,False,False,日干生日支,False,False,False,False,False,0,食神,比肩,False,False,食神,偏財,正印,正印,1,0,yes,no,yes,no,no,no,yes,28,21-30,False,False,False,False,False,False,False,False,False
913,2008-02-07,1994-12-19,36.0,13.0,Necesario,2.0,1971-08-29,PREPARATORIA,1994,1971,2008,8,29,1,甲午,戊,子,丙,戌,丙,申,辛,亥,甲戌,True,False,False,偏印,食神,False,False,False,False,False,日干生日支,False,False,False,False,False,0,偏印,比肩,False,False,正財,七殺,比肩,偏財,2,1,no,no,no,no,no,no,no,23,21-30,False,False,False,False,False,False,False,False,False
914,2008-02-07,2001-11-14,29.0,6.0,Voluntario,,1978-10-30,PROFESIONAL,2001,1978,2008,10,30,1,乙丑,丙,子,乙,丑,壬,戌,戊,午,辛巳,False,False,False,七殺,食神,False,False,False,False,False,日干剋日支,True,False,False,False,False,0,比肩,偏財,False,True,正財,傷官,正印,正財,2,0,no,no,no,no,no,no,no,23,21-30,False,True,False,False,False,False,False,False,False
915,2008-02-07,2002-05-30,33.0,5.0,Voluntario,,1974-03-22,PROFESIONAL,2002,1974,2008,3,22,1,庚午,庚,子,壬,戌,丁,卯,甲,寅,壬午,False,False,False,比肩,偏財,False,True,False,False,False,日支剋日干,True,False,False,False,False,0,偏印,偏財,False,True,食神,食神,正財,傷官,1,0,yes,no,yes,no,yes,yes,yes,28,21-30,False,True,False,False,False,False,False,True,True
916,2008-02-07,1993-05-06,39.0,13.0,Voluntario,,1968-02-14,PROFESIONAL,1993,1968,2008,2,14,1,丙辰,甲,子,甲,寅,甲,寅,戊,申,癸酉,False,False,False,正印,正官,False,False,False,False,False,比和,False,False,False,False,False,1,食神,偏財,False,True,偏財,七殺,比肩,比肩,1,1,no,no,no,no,no,no,no,25,21-30,False,True,False,False,False,False,False,False,False
917,2012-02-07,2007-11-17,28.0,4.0,Voluntario,,1984-01-24,SECUNDARIA,2007,1984,2012,1,24,1,癸亥,庚,子,丁,巳,乙,丑,癸,亥,丁亥,False,True,False,比肩,正官,False,False,False,False,False,比和,False,False,False,False,False,0,七殺,正官,False,False,七殺,正官,偏印,食神,0,2,no,no,no,no,no,no,no,23,21-30,False,False,True,False,False,False,False,False,True
918,2012-02-07,1979-12-23,67.0,42.0,Voluntario,2.0,1944-07-31,PRIMARIA,1979,1944,2012,7,31,1,乙亥,戊,子,丙,申,辛,未,甲,申,己未,False,False,False,傷官,傷官,False,False,False,False,False,日干剋日支,False,False,False,False,False,0,正印,七殺,False,False,偏印,偏財,正財,傷官,2,0,no,no,no,no,no,no,no,35,31-40,False,False,False,False,False,False,False,False,False
919,2013-02-07,1993-01-05,41.0,20.0,Necesario,1.0,1976-08-09,PREPARATORIA,1993,1976,2013,8,9,1,丁酉,壬,子,癸,巳,丙,申,丙,辰,癸酉,False,False,False,比肩,偏印,False,False,False,False,False,日干剋日支,True,False,True,False,False,0,偏財,偏印,True,False,正財,正官,正財,正印,2,1,yes,no,yes,no,no,no,yes,17,0-20,True,False,False,False,False,False,False,False,True
920,2013-02-07,2002-08-12,48.0,8.0,Necesario,3.0,1964-08-23,PROFESIONAL,2002,1964,2013,8,23,1,丙子,甲,子,甲,辰,壬,申,甲,辰,壬午,False,False,False,偏印,食神,False,False,False,False,False,日干剋日支,False,False,False,False,False,0,食神,正印,False,False,比肩,偏財,偏印,七殺,1,1,no,no,no,no,yes,yes,yes,38,31-40,False,False,False,False,False,False,False,False,False
921,2014-02-07,1993-08-05,50.0,19.0,Necesario,2.0,1963-04-10,PROFESIONAL,1993,1963,2014,4,10,1,癸丑,壬,子,癸,未,丙,辰,癸,卯,癸酉,False,False,False,比肩,偏印,False,False,False,False,False,日支剋日干,False,False,False,False,False,0,比肩,七殺,False,False,比肩,食神,正財,正官,1,1,no,no,no,no,no,no,no,30,21-30,False,False,True,False,False,False,False,False,False
922,2014-02-07,2011-10-13,33.0,2.0,Voluntario,,1980-07-03,PREPARATORIA,2011,1980,2014,7,3,1,丙戌,庚,子,丁,丑,壬,午,庚,申,辛卯,False,False,False,偏財,偏印,True,False,False,False,False,日干生日支,False,False,False,True,False,1,劫財,傷官,False,False,正財,正財,正官,劫財,2,1,no,no,no,no,no,no,no,31,21-30,False,False,False,False,False,False,True,False,False
923,2014-02-07,1995-12-22,44.0,18.0,Necesario,2.0,1969-08-25,PROFESIONAL,1995,1969,2014,8,25,1,己巳,庚,子,壬,申,壬,申,己,酉,乙亥,False,False,False,傷官,比肩,False,False,False,False,False,日支生日干,False,False,False,False,False,0,正官,正財,False,True,正官,正印,比肩,偏印,0,1,no,no,no,yes,no,no,no,26,21-30,False,True,False,True,False,False,False,False,False
924,2001-03-07,1990-12-03,35.0,6.0,Voluntario,2.0,1966-01-06,PROFESIONAL,1990,1966,2001,1,6,1,丙戌,丙,子,乙,丑,戊,子,乙,巳,庚午,False,False,False,正官,傷官,False,False,True,False,False,日干剋日支,False,False,False,False,False,0,傷官,正財,False,True,比肩,食神,正財,偏印,1,0,yes,no,yes,no,no,no,yes,24,21-30,False,True,False,False,False,False,False,False,False
925,2001-03-07,1970-04-03,56.0,30.0,Voluntario,2.0,1944-04-16,PROFESIONAL,1970,1944,2001,4,16,1,庚午,丙,子,庚,戌,戊,辰,甲,申,庚戌,True,False,False,比肩,偏印,False,False,False,False,False,日支生日干,False,False,False,False,False,0,比肩,七殺,False,False,偏財,比肩,偏印,偏印,1,0,no,no,no,no,no,no,no,26,21-30,False,False,False,False,False,False,False,False,False
926,2001-03-07,1994-06-25,41.0,6.0,Voluntario,,1959-05-18,PREPARATORIA,1994,1959,2001,5,18,1,乙丑,丙,子,庚,子,己,巳,己,亥,甲戌,False,False,False,偏財,偏印,True,False,False,False,False,日干生日支,False,False,False,False,False,0,正財,正印,True,False,正印,食神,正印,正官,0,1,no,no,no,yes,no,no,no,35,31-40,True,False,False,True,True,True,True,False,False
927,2002-03-07,1996-08-22,29.0,5.0,Voluntario,1.0,1973-02-20,PREPARATORIA,1996,1973,2002,2,20,1,壬子,庚,子,丁,亥,甲,寅,癸,丑,丙子,False,False,False,劫財,七殺,False,False,False,False,False,日支剋日干,False,True,False,False,False,0,正官,七殺,False,False,七殺,食神,正印,正印,0,1,yes,no,yes,no,no,no,yes,23,21-30,False,False,False,False,True,False,False,False,True
928,2002-03-07,1998-12-18,27.0,3.0,Voluntario,,1974-12-16,PREPARATORIA,1998,1974,2002,12,16,1,戊寅,戊,子,辛,卯,丙,子,甲,寅,戊寅,False,False,False,正印,正財,False,True,False,False,False,日干剋日支,False,True,False,False,True,0,正印,正財,False,True,正財,正財,正官,食神,2,1,no,no,no,no,no,no,no,24,21-30,False,True,False,False,False,False,False,True,True
929,2002-03-07,1977-05-23,51.0,6.0,Necesario,1.0,1950-06-06,PRIMARIA,1977,1950,2002,6,6,1,甲申,庚,子,壬,申,辛,巳,庚,寅,丁巳,False,False,True,正財,正財,True,True,True,True,True,日支生日干,False,False,False,False,False,0,食神,偏印,False,False,偏印,食神,正印,正財,1,0,yes,no,yes,no,no,no,yes,27,21-30,False,False,False,False,False,False,True,True,False
930,2003-03-07,1998-12-16,29.0,4.0,Voluntario,,1973-05-02,PREPARATORIA,1998,1973,2003,5,2,1,甲寅,壬,子,戊,戌,丙,辰,癸,丑,戊寅,False,False,False,比肩,七殺,False,False,False,False,False,比和,True,False,False,False,False,1,七殺,七殺,False,False,正財,劫財,偏印,比肩,1,0,no,no,no,no,no,no,no,25,21-30,False,False,False,False,False,False,False,False,True
931,2003-03-07,1991-12-16,40.0,11.0,Voluntario,2.0,1962-10-30,PREPARATORIA,1991,1962,2003,10,30,1,癸丑,戊,子,辛,丑,庚,戌,壬,寅,辛未,False,True,False,比肩,偏印,False,False,False,False,False,日支生日干,False,False,False,False,False,0,食神,偏印,False,False,傷官,正財,劫財,正印,1,0,no,no,no,no,no,no,no,29,21-30,False,False,False,False,False,False,False,False,False
932,2003-03-07,1997-06-19,27.0,5.0,Voluntario,1.0,1975-09-04,PREPARATORIA,1997,1975,2003,9,4,1,壬午,壬,子,癸,丑,甲,申,乙,卯,丁丑,True,False,False,偏財,七殺,True,False,False,False,False,日支剋日干,False,False,False,False,False,0,劫財,正財,False,True,食神,食神,傷官,正印,0,0,no,no,no,no,no,no,no,22,21-30,False,True,False,False,False,False,True,False,False
933,2003-03-07,1998-06-13,28.0,4.0,Necesario,,1974-12-15,PREPARATORIA,1998,1974,2003,12,15,1,戊寅,丙,子,庚,寅,丙,子,甲,寅,戊寅,True,False,False,偏印,偏財,False,True,False,False,False,日干剋日支,False,False,False,False,True,0,偏印,偏財,False,True,偏財,偏財,七殺,傷官,2,1,no,no,no,no,no,no,no,24,21-30,False,True,False,False,False,False,False,True,True
934,2003-03-07,1998-02-18,27.0,5.0,Necesario,,1976-03-05,PROFESIONAL,1998,1976,2003,3,5,1,癸巳,戊,子,丙,辰,庚,寅,丙,辰,戊寅,False,False,False,食神,偏印,False,False,False,False,False,日干生日支,False,True,False,False,False,0,正官,劫財,False,False,比肩,食神,偏財,偏印,1,0,no,no,no,no,no,no,no,22,21-30,False,False,False,False,False,False,False,False,False
935,2005-03-07,1988-04-30,39.0,16.0,Necesario,3.0,1965-10-17,PROFESIONAL,1988,1965,2005,10,17,1,癸未,甲,子,甲,辰,丙,戌,乙,巳,戊辰,True,False,False,偏財,偏財,True,True,False,False,True,日干剋日支,False,False,False,False,False,0,正印,正財,False,True,劫財,傷官,食神,偏財,1,0,no,no,no,no,no,no,no,23,21-30,False,True,False,False,False,False,True,True,False
936,2006-03-07,1989-06-24,47.0,14.0,Necesario,2.0,1958-05-22,PROFESIONAL,1989,1958,2006,5,22,1,庚申,甲,子,己,亥,丁,巳,戊,戌,己巳,False,True,False,比肩,偏印,False,False,False,False,False,日干剋日支,False,False,False,False,False,0,傷官,傷官,False,False,劫財,劫財,偏印,偏印,0,0,no,no,no,no,no,no,no,31,21-30,False,False,False,False,False,False,False,False,False
937,2007-03-07,1984-05-12,41.0,,Necesario,,1966-01-06,PROFESIONAL,1984,1966,2007,1,6,1,丁亥,丙,子,乙,丑,戊,子,乙,巳,甲子,False,False,True,劫財,偏印,False,False,False,False,False,日干剋日支,False,True,False,False,False,0,食神,正印,False,False,比肩,食神,正財,偏印,1,0,yes,no,yes,no,no,no,yes,18,0-20,False,False,False,False,False,False,False,False,False
