uniqueid,Age_partner_man,DOB_partner_man,bazi_man,Marriage_duration,man日干,year_of_marriage,Year_marriage_ganzhi,man日支同年支,man日支六沖,man日支六合,man流年天干十神,man流年地支十神,man財透干,man財得地,man日干五合,man日柱天地合,man流年雙體財,man日干支關係,man日支半三合,man日支半三會局,man日支暗合,countScore
2055,53.0,1947-01-16,"['丙', '戌', '辛', '丑', '乙', '未', '丙', '子']",4.0,乙,1996,丙子,False,False,False,傷官,偏印,False,False,False,False,False,日干剋日支,False,False,False,0
2061,30.0,1974-02-01,"['癸', '丑', '乙', '丑', '癸', '酉', '壬', '子']",8.0,癸,1995,乙亥,False,False,False,食神,劫財,False,False,False,False,False,日支生日干,False,False,False,0
2064,29.0,1976-05-06,"['丙', '辰', '癸', '巳', '戊', '午', '壬', '子']",4.0,戊,2000,庚辰,False,False,False,食神,比肩,False,False,False,False,False,日支生日干,False,False,False,0
2068,41.0,1960-11-04,"['庚', '子', '丙', '戌', '丙', '申', '戊', '子']",17.0,丙,1985,乙丑,False,False,False,正印,傷官,False,False,False,False,False,日干剋日支,False,False,False,0
2073,33.0,1971-10-18,"['辛', '亥', '戊', '戌', '丙', '子', '戊', '子']",9.0,丙,1994,甲戌,False,False,False,偏印,食神,False,False,False,False,False,日支剋日干,False,False,False,0
2077,45.0,1966-03-19,"['丙', '午', '辛', '卯', '丁', '丑', '庚', '子']",24.0,丁,1987,丁卯,False,False,False,比肩,偏印,False,False,False,False,False,日干生日支,False,False,False,0
2078,54.0,1956-12-16,"['丙', '申', '庚', '子', '丁', '巳', '庚', '子']",27.0,丁,1984,甲子,False,False,False,正印,七殺,False,False,False,False,False,比和,False,False,False,0
2083,30.0,1973-08-14,"['癸', '丑', '庚', '申', '壬', '午', '庚', '子']",3.0,壬,2000,庚辰,False,False,False,偏印,七殺,False,False,False,False,False,日干剋日支,False,False,False,0
2086,48.0,1960-10-07,"['庚', '子', '乙', '酉', '戊', '辰', '壬', '子']",16.0,戊,1991,辛未,False,False,False,傷官,劫財,False,False,False,False,False,比和,False,False,False,0
2094,29.0,1972-02-24,"['壬', '子', '壬', '寅', '乙', '酉', '丙', '子']",3.0,乙,1995,乙亥,False,False,False,比肩,正印,False,False,False,False,False,日支剋日干,False,False,False,0
2095,45.0,1955-12-31,"['乙', '未', '戊', '子', '丙', '寅', '戊', '子']",12.0,丙,1989,己巳,False,False,False,傷官,劫財,False,False,False,False,False,日支生日干,False,False,False,0
